,user,text,favorite_count,retweet_count,created_at
31,POTUS,"Small businesses are the backbone of communities across the country.
 
It's why I'm so proud to support them. As your president – leading the way for historic amounts of small business applications – and as a consumer. https://t.co/oatMU1XKco",9697,1577,2022-12-10 20:05:02+00:00
32,POTUS,"When I came to office, just 23 million COVID shots had gone into arms. Now, we’ve gotten over 655 million shots in arms, saving millions of American lives.
 
Get your updated shot. https://t.co/jlrmakyfLU",13599,2111,2022-12-10 19:25:00+00:00
33,POTUS,"Historic job creation.
Early signs that inflation is easing.
Unemployment near a 50-year low.
Gas prices under what they were a year ago.
 
I’m so optimistic about our future.",23323,3839,2022-12-10 17:30:00+00:00
34,POTUS,"On my watch, the wealthiest corporations in America aren't getting another tax cut.
 
With the Inflation Reduction Act, beginning New Year's Day, they'll move closer to paying their fair share.",26747,4582,2022-12-10 16:00:00+00:00
35,POTUS,"For years, we’ve had an economy that didn’t work for working people.
 
Through our investments, we laid the foundation for an economy built from the bottom up and the middle out – getting economic relief for folks who needed it the most.",23990,3660,2022-12-10 15:00:00+00:00
36,POTUS,Our plan to build an economy from the bottom up and middle out is working. https://t.co/hxt1JTpU87,27104,4114,2022-12-10 01:30:03+00:00
37,POTUS,"American manufacturing is back, folks. https://t.co/uyrKhPhLsI",15381,2866,2022-12-10 00:34:26+00:00
38,POTUS,"Trickle-down economics doesn’t usually get down to the bottom, or even the middle – it has never worked.
 
Our Administration is building an economy up from towns like Scranton, not down from Wall Street.",28603,4799,2022-12-09 23:30:01+00:00
39,POTUS,"Right now, the average price of a gallon of gas is $3.32, down 13 cents in a week. And below the price of gas one year ago.
 
Our actions are working to get American families meaningful savings. https://t.co/Mu3YIRj5wp",13401,2306,2022-12-09 23:00:02+00:00
40,POTUS,"America is asserting the resilience of our economy.
 
And the effect is historic global investments in American manufacturing. https://t.co/MfhSCYpFxO",9435,1406,2022-12-09 22:08:42+00:00
41,POTUS,"When Americans see the big picture in their hometowns — cranes going up, shovels in the ground, workers with hard hats — I want you to feel what I feel: pride. https://t.co/MOamIAXuPo",27437,3528,2022-12-09 20:15:02+00:00
42,POTUS,The economy we're building positions America to win the economic competition of the 21st century.,17456,2449,2022-12-09 19:30:00+00:00
43,POTUS,"Congrats to the newest members of the United Auto Workers at the Ultium Cells LLC EV battery plant in Ohio.

I ran for President to rebuild the middle class – and you can't do that without strong unions.

On my watch, our workers will lead the world in manufacturing again. https://t.co/eHpxMtNsYX",8065,1393,2022-12-09 18:47:00+00:00
44,POTUS,"We’ve made important progress passing the most significant gun safety law in three decades.
 
But the work continues to ban assault weapons.
 
We did it before, we can do it again.",31735,4299,2022-12-09 14:10:23+00:00
45,POTUS,Brittney’s coming home. https://t.co/Yg4t08Pqgc,62288,5295,2022-12-09 04:08:41+00:00
46,POTUS,"Equal pay is common sense — and long overdue.

This Latina Equal Pay Day, let’s recognize the wage inequity faced by Latinas across America and recommit to doing everything possible to live up to our values. Equal pay makes all of us stronger.",12980,2149,2022-12-09 01:00:39+00:00
