,user,text,favorite_count,retweet_count,created_at
53,elonmusk,@BillyM2k @AndrewYang 🤣,5009,200,2022-12-13 23:05:33+00:00
54,elonmusk,@wintonARK True,4767,242,2022-12-13 21:21:13+00:00
55,elonmusk,"@TheLeoTerrell @Twitter To be clear, I am generally pro-FBI, recognizing, of course, that no organization is perfect, including FBI",53199,3637,2022-12-13 21:17:53+00:00
56,elonmusk,@wintonARK @NewsNancy9 @TomFitton Good thread,2226,147,2022-12-13 21:11:06+00:00
57,elonmusk,"@TomFitton Yeah, they do",132326,5233,2022-12-13 20:51:21+00:00
58,elonmusk,@cb_doge It’s gonna be great,139641,6565,2022-12-13 20:36:21+00:00
59,elonmusk,"@HarryStebbings Don’t want to jinx it, but SpaceX is positioned to grow strongly, no matter what macroeconomic conditions are like",25416,1510,2022-12-13 19:46:33+00:00
60,elonmusk,@Rainmaker1973 Wow,10060,364,2022-12-13 19:35:42+00:00
61,elonmusk,@dogeofficialceo 🤣🤣,21608,743,2022-12-13 19:01:40+00:00
62,elonmusk,"@WholeMarsBlog Tesla will be great long-term, but doesn’t control macroeconomic tides",40947,2536,2022-12-13 19:01:12+00:00
63,elonmusk,@Timcast 🔥🔥,28217,858,2022-12-13 18:58:21+00:00
64,elonmusk,@ChefGruel haha,10963,397,2022-12-13 18:48:33+00:00
65,elonmusk,"@RocketRick @Twitter Social media in general, especially Twitter, were eroding civilization. If civilization collapses before Mars becomes self-sustaining, then nothing else matters. 

Human consciousness is gone.",24258,3102,2022-12-13 18:38:52+00:00
66,elonmusk,@TheFP PayPal has become a Black Mirror episode,51803,4623,2022-12-13 18:27:33+00:00
67,elonmusk,@BillyM2k 🍻,13969,528,2022-12-13 18:17:59+00:00
68,elonmusk,@BillyM2k Yeah,7222,327,2022-12-13 18:09:35+00:00
69,elonmusk,@dogeofficialceo @BillyM2k The best!,4785,230,2022-12-13 18:08:06+00:00
70,elonmusk,@BillyM2k 🤣,4258,188,2022-12-13 18:07:12+00:00
71,elonmusk,"@BillyM2k Unfortunately, they will get bored of complaining to each other there &amp; return to complaining here",12777,860,2022-12-13 18:05:01+00:00
72,elonmusk,@RationalEtienne https://t.co/uiOuiFHaQI,8585,966,2022-12-13 08:28:32+00:00
73,elonmusk,The ratio of digital to biological compute is growing exponentially,183283,12406,2022-12-13 07:54:49+00:00
74,elonmusk,"@jcn92977110 Twitter has been 猫を被る
But in reality イタチの最後っ屁",5756,1169,2022-12-13 06:39:19+00:00
75,elonmusk,@JeanJuegaa @nytimes Same,14538,467,2022-12-13 06:27:15+00:00
76,elonmusk,@TrungTPhan lol,9315,337,2022-12-13 06:18:09+00:00
77,elonmusk,@alx @hodgetwins @RVAwonk Bunny emojis are hate speech!!,42158,3772,2022-12-13 06:10:53+00:00
78,elonmusk,@hodgetwins @RVAwonk This tutorial video explains the backstory https://t.co/sopNJjfyBl,27486,2552,2022-12-13 05:51:40+00:00
79,elonmusk,@hodgetwins @RVAwonk Lmaooo,77507,3642,2022-12-13 05:44:17+00:00
